,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
18991,26002,Kiosk Construction,https://www.acmicpc.net/problem/26002,14,24,1.67,
18992,26009,험난한 등굣길,https://www.acmicpc.net/problem/26009,14,137,4.25,
18993,26030,Graduation Guarantee,https://www.acmicpc.net/problem/26030,14,14,1.21,
18994,26044,Array,https://www.acmicpc.net/problem/26044,14,11,2.09,
18995,26126,맛집 가이드,https://www.acmicpc.net/problem/26126,14,28,2.68,
18996,26154,한양 가왕,https://www.acmicpc.net/problem/26154,14,47,2.40,
18997,26159,트리와 수열,https://www.acmicpc.net/problem/26159,14,72,2.00,
18998,26167,헥소미노,https://www.acmicpc.net/problem/26167,14,19,3.32,
18999,26172,Brothers in Arms,https://www.acmicpc.net/problem/26172,14,4,1.50,
19000,26177,Delft Distance,https://www.acmicpc.net/problem/26177,14,30,2.13,
19001,26203,Cutting with Lasers,https://www.acmicpc.net/problem/26203,14,7,1.29,
19002,26291,King's Puzzle,https://www.acmicpc.net/problem/26291,14,9,1.78,
19003,26302,Japanski Junak,https://www.acmicpc.net/problem/26302,14,2,1.50,
19004,26342,Palindrome Maker,https://www.acmicpc.net/problem/26342,14,6,4.00,
19005,26352,Matrix Transformation,https://www.acmicpc.net/problem/26352,14,12,1.08,
19006,26423,Suspects and Witnesses,https://www.acmicpc.net/problem/26423,14,6,1.17,
19007,26525,빙고,https://www.acmicpc.net/problem/26525,14,44,1.18,
19008,26604,순열 구하기,https://www.acmicpc.net/problem/26604,14,28,1.14,
19009,26652,성향 성장의 비약,https://www.acmicpc.net/problem/26652,14,58,4.19,
19010,26786,Płytkie nawiasowania,https://www.acmicpc.net/problem/26786,14,1,1.00,
19011,26866,Dice Grid,https://www.acmicpc.net/problem/26866,14,11,1.45,
19012,26897,Räkneuttrycket,https://www.acmicpc.net/problem/26897,14,5,1.80,
19013,26974,Range Reconstruction,https://www.acmicpc.net/problem/26974,14,93,2.04,
19014,27014,Cube Stacking,https://www.acmicpc.net/problem/27014,14,7,2.29,
19015,27067,데이터 순서 복원,https://www.acmicpc.net/problem/27067,14,170,1.38,
19016,27074,Strolling Cows,https://www.acmicpc.net/problem/27074,14,5,1.40,
19017,27081,Dessert,https://www.acmicpc.net/problem/27081,14,41,1.37,
19018,27085,최대 점수,https://www.acmicpc.net/problem/27085,14,115,3.81,
19019,27187,Lazy to Win,https://www.acmicpc.net/problem/27187,14,4,1.25,
19020,27206,Relay,https://www.acmicpc.net/problem/27206,14,15,1.27,
19021,27208,Melons,https://www.acmicpc.net/problem/27208,14,12,1.50,
19022,27337,塗りつぶし (Painting),https://www.acmicpc.net/problem/27337,14,12,1.00,
19023,27341,Dirigent,https://www.acmicpc.net/problem/27341,14,15,1.20,
19024,27439,팩토리얼 4,https://www.acmicpc.net/problem/27439,14,40,3.10,
19025,27477,Triangles,https://www.acmicpc.net/problem/27477,14,17,1.06,
19026,27489,Matching Numbers,https://www.acmicpc.net/problem/27489,14,93,1.05,
19027,27499,레이저 쏘기,https://www.acmicpc.net/problem/27499,14,66,2.11,
19028,27517,구슬 정렬,https://www.acmicpc.net/problem/27517,14,38,2.29,
19029,27519,소수의 합,https://www.acmicpc.net/problem/27519,14,97,1.87,
19030,27595,Another Wine Tasting Event,https://www.acmicpc.net/problem/27595,14,25,1.92,
19031,27600,Controllers,https://www.acmicpc.net/problem/27600,14,20,1.45,
19032,27610,A Musical Question,https://www.acmicpc.net/problem/27610,14,14,1.07,
19033,27635,Konstrukcija 스페셜 저지,https://www.acmicpc.net/problem/27635,14,3,3.00,
19034,27727,버튼 정렬,https://www.acmicpc.net/problem/27727,14,72,4.04,
19035,27888,가희와 지하철역 저장 시스템 1,https://www.acmicpc.net/problem/27888,14,40,7.33,
19036,27895,특별한 학생증,https://www.acmicpc.net/problem/27895,14,33,2.52,
19037,28016,경품 추첨,https://www.acmicpc.net/problem/28016,14,48,8.54,
19038,28021,Rocket Launching,https://www.acmicpc.net/problem/28021,14,5,1.80,
19039,28031,Milk Sum,https://www.acmicpc.net/problem/28031,14,51,1.84,
19040,28042,City Folding,https://www.acmicpc.net/problem/28042,14,27,1.59,
19041,28044,Empty Squares,https://www.acmicpc.net/problem/28044,14,24,1.96,
19042,28052,Maze in Bolt,https://www.acmicpc.net/problem/28052,14,21,1.33,
19043,28055,Monochrome Tree,https://www.acmicpc.net/problem/28055,14,68,1.40,
19044,28072,KKK512에서 피자 먹기,https://www.acmicpc.net/problem/28072,14,78,1.54,
19045,28128,현대모비스 특별상의 주인공은?,https://www.acmicpc.net/problem/28128,14,86,2.60,
19046,28129,2022 APC가 어려웠다고요?,https://www.acmicpc.net/problem/28129,14,71,2.77,
19047,28152,Power of Divisors,https://www.acmicpc.net/problem/28152,14,52,2.12,
19048,28252,리프 수열,https://www.acmicpc.net/problem/28252,14,61,2.57,
19049,28257,알록달록 초콜릿 만들기,https://www.acmicpc.net/problem/28257,14,84,2.61,
19050,28258,초콜릿 보물 찾기,https://www.acmicpc.net/problem/28258,14,83,8.51,
19051,28259,초콜릿 트리 만들기,https://www.acmicpc.net/problem/28259,14,42,1.76,
19052,28284,스터디 카페,https://www.acmicpc.net/problem/28284,14,70,3.01,
19053,28305,세미나 배정,https://www.acmicpc.net/problem/28305,14,172,2.01,
19054,28384,Bliskost,https://www.acmicpc.net/problem/28384,14,7,1.00,
19055,28388,BANKA,https://www.acmicpc.net/problem/28388,14,1,7.00,
19056,28428,Catch-Up,https://www.acmicpc.net/problem/28428,14,58,1.93,
19057,28435,배수 피하기,https://www.acmicpc.net/problem/28435,14,258,3.00,
19058,28473,도로 위의 표지판,https://www.acmicpc.net/problem/28473,14,84,1.73,
19059,28753,Сэм и хранилище,https://www.acmicpc.net/problem/28753,14,3,1.00,
19060,28928,Макс и расстояния,https://www.acmicpc.net/problem/28928,14,2,1.00,
19061,28944,Тайная комната,https://www.acmicpc.net/problem/28944,14,9,2.33,
19062,28957,Трудности переписки,https://www.acmicpc.net/problem/28957,14,1,1.00,
19063,29199,활쏘기 대결,https://www.acmicpc.net/problem/29199,14,164,2.20,
19064,29333,One Walk,https://www.acmicpc.net/problem/29333,14,58,2.33,
19065,29442,Physical Education,https://www.acmicpc.net/problem/29442,14,3,1.67,
